Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/21/16,54.2,50.2,43.3,37.6,32.5,29.3,71,51,38,24.2,4.9,0,29.99,29.8,29.9,0.02
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/22/16,53.3,43.4,36.3,31.1,24.7,12.8,67,49,27,15.2,4.7,0,30.29,29.97,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/23/16,38,35.2,33.8,33.2,28.4,10.8,94,78,36,45,11.8,0,30.35,30.18,30.3,0.41
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/24/16,60.4,44.5,34.6,58.2,43.4,33.2,97,96,89,47.2,13.8,0,30.2,29.33,29.8,1.81
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/25/16,59.5,47.5,37.5,56.3,39.2,21.9,97,73,50,36,13.9,0,29.56,29.21,29.4,0.02
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/26/16,38.1,32.6,26.2,21.9,9.8,0.2,55,39,22,37.8,13.4,0,30.12,29.54,29.8,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/27/16,41.5,33.5,25.3,18.7,12.3,7.1,50,41,29,26.6,9.8,0,30.15,29.97,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/28/16,61.2,48,37.2,33.3,24.7,18.5,63,41,27,28,9.4,1.6,30.01,29.74,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,2/29/16,60.3,49.6,40.2,40.9,32.5,24,76,53,34,38.7,10.8,0,29.96,29.6,29.8,0.09
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/1/16,51.3,44.2,37.5,46.1,25.2,7.7,82,49,25,22.8,7.6,0,30.21,29.64,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/2/16,54,41.3,27.3,50.5,22.7,6.6,95,50,28,54.6,13.4,1.3,30.12,29.45,29.8,0.22
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/3/16,36.6,30.2,24.2,20.3,7.3,2.6,58,38,24,21.3,6.9,0,30.29,30.11,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/4/16,40.1,32.6,28.2,27.5,22,14.4,92,67,42,21.3,5.8,0,30.2,29.99,30.1,0.14
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/5/16,39.3,33.6,27.1,19.3,7.9,-1.5,58,35,18,17.4,4.5,0,30.24,30.09,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/6/16,45.4,36.4,29.6,22.8,12.9,4.6,59,37,30,19.2,3.7,0,30.33,30.2,30.3,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/7/16,61.1,47.7,34.1,35.2,30.1,23.1,71,51,34,36.7,8.4,0,30.31,29.96,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/8/16,64.7,52.4,43.6,40.4,35.8,32.8,86,55,33,20.1,4,0,30.19,30.05,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/9/16,75.9,58,40.3,42.6,40.4,37.2,94,57,26,18.1,4.5,0,30.17,29.98,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/10/16,77.6,70.6,63.7,54.4,46.4,42.8,63,42,31,23.3,6.6,0,30.05,29.87,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/11/16,67,57.5,47.1,55.3,40.6,27.9,93,56,28,20.4,6.8,0,30.37,29.88,30.1,0.1
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/12/16,57.8,49.2,36.9,39.2,31.7,25.1,64,51,29,24.6,6.4,0,30.38,29.99,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/13/16,61.3,55.7,50.1,38.9,32.9,25.4,62,43,26,17,4.8,0,30.13,29.95,30,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/14/16,50.8,43.1,39.2,41.4,36.2,27.9,93,78,41,43.6,11.6,0,30.17,29.9,30,0.33
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/15/16,57.5,49,43.4,44.6,42.7,41.4,94,80,58,28.9,5.5,0,29.92,29.76,29.8,0.01
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/16/16,65,52.8,43.6,45.9,43.1,40.8,92,71,47,23.7,4.3,0,29.9,29.75,29.8,0.02
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/17/16,62.9,51.5,42.7,43.6,37.8,27.9,94,62,30,34.9,7.3,0,29.93,29.74,29.8,0.02
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/18/16,56,50.2,42.3,34.2,25.4,20.4,54,38,25,39.8,10.5,0,29.98,29.77,29.9,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/19/16,46.3,40.6,33.7,24.3,13.4,5.8,50,34,19,22.6,4.5,0,30.17,29.96,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/20/16,39.2,34.7,30.5,30.9,16,4.4,92,48,26,21.7,7.2,0,30.2,29.95,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/21/16,49,38.6,30.7,31.2,21.5,4.4,95,58,16,40,8.7,0,30.04,29.75,29.9,0.2
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,3/22/16,55,44.1,34.7,34.1,20.5,15.4,52,39,22,29.5,11.1,1.1,30.21,30,30.1,0
